from,to,distance
Dwayne Johnson,Chris Hemsworth,2
Dwayne Johnson,Robert Downey Jr.,3
Dwayne Johnson,Akshay Kumar,inf
Dwayne Johnson,Jackie Chan,inf
Dwayne Johnson,Bradley Cooper,3
Dwayne Johnson,Adam Sandler,3
Dwayne Johnson,Scarlett Johansson,3
Dwayne Johnson,Sofia Vergara,inf
Dwayne Johnson,Chris Evans,3
Chris Hemsworth,Dwayne Johnson,2
Chris Hemsworth,Robert Downey Jr.,1
Chris Hemsworth,Akshay Kumar,3
Chris Hemsworth,Jackie Chan,2
Chris Hemsworth,Bradley Cooper,2
Chris Hemsworth,Adam Sandler,3
Chris Hemsworth,Scarlett Johansson,1
Chris Hemsworth,Sofia Vergara,3
Chris Hemsworth,Chris Evans,1
Robert Downey Jr.,Dwayne Johnson,3
Robert Downey Jr.,Chris Hemsworth,1
Robert Downey Jr.,Akshay Kumar,inf
Robert Downey Jr.,Jackie Chan,3
Robert Downey Jr.,Bradley Cooper,3
Robert Downey Jr.,Adam Sandler,inf
Robert Downey Jr.,Scarlett Johansson,1
Robert Downey Jr.,Sofia Vergara,3
Robert Downey Jr.,Chris Evans,1
Akshay Kumar,Dwayne Johnson,inf
Akshay Kumar,Chris Hemsworth,3
Akshay Kumar,Robert Downey Jr.,inf
Akshay Kumar,Jackie Chan,inf
Akshay Kumar,Bradley Cooper,inf
Akshay Kumar,Adam Sandler,3
Akshay Kumar,Scarlett Johansson,inf
Akshay Kumar,Sofia Vergara,inf
Akshay Kumar,Chris Evans,2
Jackie Chan,Dwayne Johnson,3
Jackie Chan,Chris Hemsworth,inf
Jackie Chan,Robert Downey Jr.,inf
Jackie Chan,Akshay Kumar,inf
Jackie Chan,Bradley Cooper,inf
Jackie Chan,Adam Sandler,inf
Jackie Chan,Scarlett Johansson,inf
Jackie Chan,Sofia Vergara,inf
Jackie Chan,Chris Evans,3
Bradley Cooper,Dwayne Johnson,3
Bradley Cooper,Chris Hemsworth,1
Bradley Cooper,Robert Downey Jr.,1
Bradley Cooper,Akshay Kumar,inf
Bradley Cooper,Jackie Chan,3
Bradley Cooper,Adam Sandler,inf
Bradley Cooper,Scarlett Johansson,1
Bradley Cooper,Sofia Vergara,3
Bradley Cooper,Chris Evans,1
Adam Sandler,Dwayne Johnson,3
Adam Sandler,Chris Hemsworth,3
Adam Sandler,Robert Downey Jr.,2
Adam Sandler,Akshay Kumar,3
Adam Sandler,Jackie Chan,inf
Adam Sandler,Bradley Cooper,3
Adam Sandler,Scarlett Johansson,2
Adam Sandler,Sofia Vergara,inf
Adam Sandler,Chris Evans,3
Scarlett Johansson,Dwayne Johnson,2
Scarlett Johansson,Chris Hemsworth,1
Scarlett Johansson,Robert Downey Jr.,1
Scarlett Johansson,Akshay Kumar,inf
Scarlett Johansson,Jackie Chan,3
Scarlett Johansson,Bradley Cooper,3
Scarlett Johansson,Adam Sandler,3
Scarlett Johansson,Sofia Vergara,2
Scarlett Johansson,Chris Evans,1
Sofia Vergara,Dwayne Johnson,3
Sofia Vergara,Chris Hemsworth,3
Sofia Vergara,Robert Downey Jr.,3
Sofia Vergara,Akshay Kumar,inf
Sofia Vergara,Jackie Chan,3
Sofia Vergara,Bradley Cooper,3
Sofia Vergara,Adam Sandler,2
Sofia Vergara,Scarlett Johansson,3
Sofia Vergara,Chris Evans,2
Chris Evans,Dwayne Johnson,2
Chris Evans,Chris Hemsworth,2
Chris Evans,Robert Downey Jr.,3
Chris Evans,Akshay Kumar,inf
Chris Evans,Jackie Chan,inf
Chris Evans,Bradley Cooper,2
Chris Evans,Adam Sandler,3
Chris Evans,Scarlett Johansson,3
Chris Evans,Sofia Vergara,3
